region,xh5,xi1,_v23,_v176,_v181,_v145,wage,education,experience,has_wage,gender,unempl_wage
1,2,1,37000,27,NA,10,37000,10,27,0,2,NA
1,2,1,NA,40,NA,1,NA,1,40,NA,2,NA
1,2,1,NA,30,NA,6,NA,6,30,NA,2,NA
1,2,1,25000,48,NA,4,25000,4,48,0,2,NA
1,1,2,NA,22,NA,4,NA,4,22,NA,1,NA
1,2,2,NA,6,NA,5,NA,5,6,NA,2,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,32,NA,10,NA,10,32,NA,2,NA
1,1,1,99999997,26,NA,6,99999997,6,26,0,1,NA
1,2,2,18000,16,NA,5,18000,5,16,0,2,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,2,25000,0,NA,4,25000,4,0,0,2,NA
1,1,2,25000,99999997,NA,1,25000,1,99999997,0,1,NA
1,1,2,NA,NA,NA,2,NA,2,NA,NA,1,NA
1,2,1,NA,99999998,NA,10,NA,10,99999998,NA,2,NA
1,1,1,45000,30,NA,10,45000,10,30,0,1,NA
1,2,2,NA,NA,NA,2,NA,2,NA,NA,2,NA
1,2,1,38000,19,NA,10,38000,10,19,0,2,NA
1,1,1,NA,27,NA,11,NA,11,27,NA,1,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,2,NA,1,50000,1,NA,1,1,NA,1,50000
1,2,1,12000,11,NA,6,12000,6,11,0,2,NA
1,1,2,99999997,3,NA,1,99999997,1,3,0,1,NA
1,1,2,NA,NA,NA,1,NA,1,NA,NA,1,NA
1,2,2,35000,12,NA,2,35000,2,12,0,2,NA
1,2,1,25000,14,NA,10,25000,10,14,0,2,NA
1,2,2,NA,NA,NA,1,NA,1,NA,NA,2,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,2,25000,6,NA,6,25000,6,6,0,2,NA
1,1,2,40000,16,NA,4,40000,4,16,0,1,NA
1,2,1,25000,10,NA,6,25000,6,10,0,2,NA
1,1,1,35000,14,NA,6,35000,6,14,0,1,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,40,NA,6,NA,6,40,NA,2,NA
1,1,1,NA,44,NA,10,NA,10,44,NA,1,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,2,13000,8,NA,4,13000,4,8,0,2,NA
1,2,1,30000,12,NA,4,30000,4,12,0,2,NA
1,1,2,40000,9,NA,4,40000,4,9,0,1,NA
1,2,1,14000,39,20000,5,14000,5,39,0,2,20000
1,1,2,62000,23,NA,10,62000,10,23,0,1,NA
1,2,1,38000,21,NA,10,38000,10,21,0,2,NA
1,2,1,NA,29,NA,4,NA,4,29,NA,2,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,1,25000,99999996,NA,3,25000,3,99999996,0,1,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,2,25000,10,NA,6,25000,6,10,0,2,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,2,NA,99999996,NA,11,NA,11,99999996,NA,1,NA
1,2,1,NA,46,NA,6,NA,6,46,NA,2,NA
1,1,2,NA,48,NA,3,NA,3,48,NA,1,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,2,NA,99999997,150000,6,NA,6,99999997,NA,2,150000
1,1,2,20000,3,NA,5,20000,5,3,0,1,NA
1,2,1,25000,29,NA,6,25000,6,29,0,2,NA
1,1,1,35000,30,NA,10,35000,10,30,0,1,NA
1,2,1,25000,28,NA,10,25000,10,28,0,2,NA
1,1,2,25000,1,NA,3,25000,3,1,0,1,NA
1,2,1,35000,99999997,NA,10,35000,10,99999997,0,2,NA
1,2,1,NA,47,NA,4,NA,4,47,NA,2,NA
1,2,1,22000,99999997,NA,4,22000,4,99999997,0,2,NA
1,2,1,20000,99999997,NA,6,20000,6,99999997,0,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,99999997,NA,2,NA,2,99999997,NA,2,NA
1,1,1,18000,99999997,30000,1,18000,1,99999997,0,1,30000
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,1,14700,22,NA,5,14700,5,22,0,2,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,55000,17,NA,5,55000,5,17,0,2,NA
1,1,1,45000,20,NA,5,45000,5,20,0,1,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,40,NA,1,NA,1,40,NA,2,NA
1,1,1,NA,47,NA,3,NA,3,47,NA,1,NA
1,2,1,NA,41,NA,5,NA,5,41,NA,2,NA
1,2,1,NA,47,NA,6,NA,6,47,NA,2,NA
1,2,1,NA,11,NA,4,NA,4,11,NA,2,NA
1,2,1,28000,40,NA,5,28000,5,40,0,2,NA
1,2,2,70000,20,NA,10,70000,10,20,0,2,NA
1,2,1,22000,20,50000,3,22000,3,20,0,2,50000
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,2,50000,26,NA,3,50000,3,26,0,1,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,2,14500,19,30000,6,14500,6,19,0,2,30000
1,1,1,99999997,99999996,NA,5,99999997,5,99999996,0,1,NA
1,1,1,20000,21,NA,5,20000,5,21,0,1,NA
1,2,1,30000,43,NA,10,30000,10,43,0,2,NA
1,1,1,NA,99999997,NA,3,NA,3,99999997,NA,1,NA
1,2,1,21000,34,NA,6,21000,6,34,0,2,NA
1,2,1,NA,40,NA,5,NA,5,40,NA,2,NA
1,1,2,NA,12,60000,10,NA,10,12,NA,1,60000
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,1,20000,9,NA,2,20000,2,9,0,2,NA
1,2,1,46000,26,NA,10,46000,10,26,0,2,NA
1,1,1,45000,33,NA,5,45000,5,33,0,1,NA
1,2,1,20000,40,NA,2,20000,2,40,0,2,NA
1,1,1,20000,28,40000,5,20000,5,28,0,1,40000
1,1,1,NA,15,30000,3,NA,3,15,NA,1,30000
1,2,1,35000,32,NA,10,35000,10,32,0,2,NA
1,1,1,50000,30,NA,10,50000,10,30,0,1,NA
1,2,2,NA,21,NA,4,NA,4,21,NA,2,NA
1,1,1,25000,40,NA,4,25000,4,40,0,1,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,1,NA,55,NA,6,NA,6,55,NA,2,NA
1,2,2,NA,99999996,35000,5,NA,5,99999996,NA,2,35000
1,1,1,NA,41,NA,4,NA,4,41,NA,1,NA
1,2,1,NA,41,NA,6,NA,6,41,NA,2,NA
1,2,1,99999997,27,NA,10,99999997,10,27,0,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,1,76000,25,100000,10,76000,10,25,0,1,100000
1,1,1,45000,28,NA,6,45000,6,28,0,1,NA
1,2,1,15000,16,30000,6,15000,6,16,0,2,30000
1,2,2,30000,28,NA,10,30000,10,28,0,2,NA
1,1,1,NA,34,40000,4,NA,4,34,NA,1,40000
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,1,21000,14,NA,5,21000,5,14,0,2,NA
1,1,1,38000,17,NA,5,38000,5,17,0,1,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,1,20000,30,NA,5,20000,5,30,0,1,NA
1,1,2,20000,18,NA,5,20000,5,18,0,1,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,2,25000,6,NA,6,25000,6,6,0,2,NA
1,2,1,NA,22,NA,4,NA,4,22,NA,2,NA
